doping_level,dopant_type,tc_k,resistivity_300k_mohm_cm,hall_coefficient_cm3_c,thermopower_300k_uv_k,magnetic_susceptibility_emu_mol,structural_transition_k,magnetic_transition_k,carrier_concentration_cm3,phase
0.00,none,0,12.8,1.8e-3,52,3.2e-4,155,142,3.47e21,parent
0.02,F,0,11.5,1.6e-3,48,3.0e-4,145,135,3.91e21,antiferromagnetic
0.04,F,15,9.8,1.4e-3,44,2.8e-4,132,125,4.46e21,coexistence
0.06,F,24,8.2,1.2e-3,38,2.5e-4,118,112,5.21e21,superconducting
0.08,F,28,6.9,1.0e-3,34,2.3e-4,102,98,6.24e21,superconducting
0.10,F,26,5.8,0.9e-3,30,2.1e-4,85,82,6.94e21,superconducting
0.12,F,22,4.9,0.8e-3,26,1.8e-4,68,65,7.81e21,superconducting
0.14,F,16,4.2,0.7e-3,22,1.6e-4,52,48,8.93e21,superconducting
0.16,F,10,3.6,0.6e-3,20,1.4e-4,35,32,10.4e21,metallic
0.18,F,4,3.1,0.5e-3,18,1.2e-4,22,18,12.5e21,metallic
0.20,F,0,2.7,0.4e-3,16,1.0e-4,12,8,15.6e21,metallic
0.05,Th,0,10.8,1.5e-3,46,2.9e-4,138,128,4.17e21,antiferromagnetic
0.10,Th,18,8.5,1.3e-3,40,2.6e-4,118,108,4.81e21,coexistence
0.15,Th,32,6.8,1.0e-3,34,2.2e-4,95,88,6.24e21,superconducting
0.20,Th,38,5.5,0.8e-3,28,1.9e-4,72,68,7.81e21,superconducting
0.25,Th,35,4.5,0.7e-3,24,1.6e-4,52,48,8.93e21,superconducting
0.30,Th,28,3.8,0.6e-3,20,1.4e-4,35,32,10.4e21,superconducting
0.35,Th,18,3.2,0.5e-3,18,1.2e-4,22,18,12.5e21,metallic
0.40,Th,8,2.8,0.4e-3,16,1.0e-4,12,8,15.6e21,metallic
0.45,Th,0,2.4,0.3e-3,14,0.9e-4,0,0,20.8e21,metallic
